,Event,Duration,Start Time,End Time,Start Epoch,End Epoch
147,NREM,30,01:42:00.000,01:42:30.000,1020,1021
148,NREM,30,01:42:30.000,01:43:00.000,1021,1022
149,NREM,30,01:43:00.000,01:43:30.000,1022,1023
150,NREM,30,01:43:30.000,01:44:00.000,1023,1024
151,NREM,30,01:44:00.000,01:44:30.000,1024,1025
152,NREM,30,01:44:30.000,01:45:00.000,1025,1026
153,NREM,30,01:45:00.000,01:45:30.000,1026,1027
154,NREM,30,01:45:30.000,01:46:00.000,1027,1028
155,NREM,30,01:46:00.000,01:46:30.000,1028,1029
156,NREM,30,01:46:30.000,01:47:00.000,1029,1030
157,NREM,30,01:47:00.000,01:47:30.000,1030,1031
158,NREM,30,01:47:30.000,01:48:00.000,1031,1032
159,NREM,30,01:48:00.000,01:48:30.000,1032,1033
160,NREM,30,01:48:30.000,01:49:00.000,1033,1034
161,NREM,30,01:49:00.000,01:49:30.000,1034,1035
162,NREM,30,01:49:30.000,01:50:00.000,1035,1036
163,NREM,30,01:50:00.000,01:50:30.000,1036,1037
164,NREM,30,01:50:30.000,01:51:00.000,1037,1038
165,NREM,30,01:51:00.000,01:51:30.000,1038,1039
166,NREM,30,01:51:30.000,01:52:00.000,1039,1040
167,NREM,30,01:52:00.000,01:52:30.000,1040,1041
168,NREM,30,01:52:30.000,01:53:00.000,1041,1042
169,NREM,30,01:53:00.000,01:53:30.000,1042,1043
170,NREM,30,01:53:30.000,01:54:00.000,1043,1044
171,NREM,30,01:54:00.000,01:54:30.000,1044,1045
172,NREM,30,01:54:30.000,01:55:00.000,1045,1046
173,NREM,30,01:55:00.000,01:55:30.000,1046,1047
174,NREM,30,01:55:30.000,01:56:00.000,1047,1048
175,NREM,30,01:56:00.000,01:56:30.000,1048,1049
176,NREM,30,01:56:30.000,01:57:00.000,1049,1050
177,NREM,30,01:57:00.000,01:57:30.000,1050,1051
178,NREM,30,01:57:30.000,01:58:00.000,1051,1052
179,NREM,30,01:58:00.000,01:58:30.000,1052,1053
180,NREM,30,01:58:30.000,01:59:00.000,1053,1054
181,NREM,30,01:59:00.000,01:59:30.000,1054,1055
182,NREM,30,01:59:30.000,02:00:00.000,1055,1056
183,NREM,30,02:00:00.000,02:00:30.000,1056,1057
184,NREM,30,02:00:30.000,02:01:00.000,1057,1058
185,NREM,30,02:01:00.000,02:01:30.000,1058,1059
186,NREM,30,02:02:30.000,02:03:00.000,1061,1062
187,NREM,30,02:03:00.000,02:03:30.000,1062,1063
188,NREM,30,02:03:30.000,02:04:00.000,1063,1064
189,NREM,30,02:04:00.000,02:04:30.000,1064,1065
190,NREM,30,02:04:30.000,02:05:00.000,1065,1066
191,NREM,30,02:05:00.000,02:05:30.000,1066,1067
192,NREM,30,02:05:30.000,02:06:00.000,1067,1068
193,NREM,30,02:06:00.000,02:06:30.000,1068,1069
194,NREM,30,02:06:30.000,02:07:00.000,1069,1070
195,NREM,30,02:07:00.000,02:07:30.000,1070,1071
196,NREM,30,02:07:30.000,02:08:00.000,1071,1072
197,REM,30,02:08:00.000,02:08:30.000,1072,1073
198,REM,30,02:08:30.000,02:09:00.000,1073,1074
199,REM,30,02:09:00.000,02:09:30.000,1074,1075
200,REM,30,02:09:30.000,02:10:00.000,1075,1076
201,REM,30,02:11:00.000,02:11:30.000,1078,1079
202,REM,30,02:11:30.000,02:12:00.000,1079,1080
203,REM,30,02:12:00.000,02:12:30.000,1080,1081
204,REM,30,02:12:30.000,02:13:00.000,1081,1082
205,REM,30,02:13:00.000,02:13:30.000,1082,1083
206,REM,30,02:13:30.000,02:14:00.000,1083,1084
207,REM,30,02:14:00.000,02:14:30.000,1084,1085
208,REM,30,02:14:30.000,02:15:00.000,1085,1086
209,REM,30,02:15:00.000,02:15:30.000,1086,1087
210,REM,30,02:15:30.000,02:16:00.000,1087,1088
211,NREM,30,02:16:30.000,02:17:00.000,1089,1090
212,NREM,30,02:17:00.000,02:17:30.000,1090,1091
213,NREM,30,02:17:30.000,02:18:00.000,1091,1092
214,NREM,30,02:18:00.000,02:18:30.000,1092,1093
215,NREM,30,02:18:30.000,02:19:00.000,1093,1094
216,NREM,30,02:19:00.000,02:19:30.000,1094,1095
217,NREM,30,02:19:30.000,02:20:00.000,1095,1096
218,NREM,30,02:20:00.000,02:20:30.000,1096,1097
219,NREM,30,02:20:30.000,02:21:00.000,1097,1098
220,NREM,30,02:21:00.000,02:21:30.000,1098,1099
221,NREM,30,02:21:30.000,02:22:00.000,1099,1100
222,NREM,30,02:22:00.000,02:22:30.000,1100,1101
223,NREM,30,02:22:30.000,02:23:00.000,1101,1102
224,NREM,30,02:23:00.000,02:23:30.000,1102,1103
225,NREM,30,02:23:30.000,02:24:00.000,1103,1104
226,NREM,30,02:24:00.000,02:24:30.000,1104,1105
227,NREM,30,02:24:30.000,02:25:00.000,1105,1106
228,NREM,30,02:25:00.000,02:25:30.000,1106,1107
229,NREM,30,02:25:30.000,02:26:00.000,1107,1108
230,NREM,30,02:26:00.000,02:26:30.000,1108,1109
231,NREM,30,02:26:30.000,02:27:00.000,1109,1110
