,Abdomen Fast,Abdomen RIP,C3,C4,E1,E2,EDA,EKG,F,1-F,2-F,F3,F4,Flow Limitation,Heart Rate,Inductance Abdom,Inductance Thora,K,M2,M1M2,C3-M2,F3-M2,E1-M2,Nasal Pressure,O1,O1-M2,O2,O2-M1,Pleth,PTT,Pulse,PWA,Resp Rate,Right Leg,RIP Phase,SpO2 B-B,SpO2,Class
10,1.5092467612726074e-06,5.8233615625243184e-08,-1.6669528953994565e-06,-4.285552666514127e-06,1.4405806363010297e-06,2.962642801556369e-06,-0.027557717818743173,-0.003811324188242918,2.7787056534675133e-06,-4.16092313013416e-06,-5.030275501639874e-06,-2.8035340047303487e-06,-2.0769291218434822e-06,0.19814585591210807,63.11175556791535,1.9545862211032273e-06,1.8658041046768903e-06,0.5619364243369194,-5.082728007932019e-07,5.058121614404516e-07,6.081135449255655e-07,-7.555424429695054e-07,7.984212222476106e-06,0.006114295119839677,-9.345538582436917e-06,-7.259050980392501e-06,2.132610467688969e-06,-5.747510185388904e-07,2749.365648489779,0.2604734108213185,62.621689851902715,7214.998548765287,14.334128220031028,-0.0034387710909946525,1.4269476293074945,95.09956511787593,95.12204470893418,REM
11,2.107780539660745e-06,6.280178225375799e-07,-1.4383647974365351e-06,-4.921773723964344e-06,-9.758480201420933e-07,2.9830361028457564e-06,-0.027467940616433973,-0.0037209170443198224,2.788393911650163e-06,5.815654820579199e-06,-2.8622870374604268e-06,-2.630099382009664e-06,4.3904992141601795e-06,0.2123522443974467,62.209566259149064,1.9544929986521195e-06,1.8657563744563974e-06,0.5601729956412909,-1.4615336842881669e-07,4.980215152208744e-07,4.773310215919774e-07,-9.406393835356153e-07,5.206176195925408e-06,-9.683361245096004e-05,-5.20201930266275e-06,-3.4668078431375977e-06,-3.4920784466316214e-06,-5.829310035349245e-06,2745.4586555106243,0.2605729391183473,62.29944304570078,7460.9201426209875,14.058850985244932,-0.0034282102692963245,0.4438497438010223,95.09956511787593,94.99981689173727,REM
12,2.7749664530403652e-06,1.2949349609623402e-06,3.385158709086696e-06,1.7898365300983693e-06,-2.1559203479075344e-07,3.1443346303501433e-06,-0.027527864947585263,-0.0038007980424963695,2.782618219272045e-06,2.0147970600949787e-06,-2.6509537651631813e-06,6.020356130311995e-06,-9.399432059206923e-07,0.23356441421449095,60.83858607629511,1.954529783067572e-06,1.8656416673024592e-06,0.5600344492103456,-3.564194079499237e-06,4.997679611403576e-07,8.732732654307318e-06,1.1145059449149207e-05,9.382189461101778e-06,-0.001806236902087535,-9.660892347601029e-07,4.1982470588231866e-06,4.792263202868645e-06,-9.552860507099934e-07,2799.5832347702226,0.25846129147665625,61.0326797385621,5538.6401753770215,13.752808218063631,-0.003381098555046941,0.6218290965133135,95.4548290565686,95.51095140001527,REM
13,2.1619468731721007e-06,6.874194247348791e-07,8.503327962157574e-06,2.890125886930597e-06,9.253934538794231e-07,2.6849443045700258e-06,-0.027527470526487123,-0.004216244858663303,2.786548409246868e-06,4.4167079982705084e-06,5.503414969100953e-06,4.060568200198315e-06,-2.1597828641186013e-06,0.21181564349553683,61.579962313064264,1.954387040004069e-06,1.8658851606012057e-06,0.5600344492103456,-8.431294270234606e-07,4.924997838305231e-07,1.1137706617329623e-05,6.454685816739046e-06,7.803506337579994e-06,-8.001061670822077e-05,9.227714671549501e-06,1.1692584313725149e-05,7.474956206607104e-06,4.47211485974498e-06,2767.2037469443794,0.2602625362127039,61.42159829777134,6694.199751176212,14.193572107799087,-0.0034100992737723036,0.32052763057907985,95.18840653425225,95.4109468223087,NREM
14,2.264079018844896e-06,6.850074616617123e-07,5.153332845044582e-06,-1.3342341039139899e-06,1.999582513159066e-07,2.9733638513770754e-06,-0.027506839817207095,-0.004197656133195996,2.7646063172349658e-06,-1.3989585819283674e-06,6.994021469444281e-06,9.111098283359986e-06,5.278078187228007e-06,0.21306328617807282,61.85716776663869,1.9542579283334607e-06,1.8655951578037179e-06,0.5600344492103456,-1.0080505836573204e-06,5.03768673228046e-07,7.944424737418126e-06,1.1679733302815188e-05,7.2436522774085835e-06,-0.01827804031117937,-1.3401158571755603e-05,-1.081834509803956e-05,5.53890774395356e-06,2.3458420106312735e-06,2769.666723382754,0.257219058596448,62.21054737502438,5270.609318379488,13.253704197223469,-0.0034275507532616346,2.3394580246178887,94.99951679763993,94.99981689173727,NREM
15,1.0831122504514186e-06,-3.089269957529016e-07,3.5219519798580396e-06,1.0842897428854759e-05,1.2100282902264127e-06,3.0856185702295967e-06,-0.027673916925825902,-0.0041555098831311445,2.7682343785762336e-06,-2.254613402507701e-06,-3.98122093537757e-06,7.395763607232727e-06,4.419544274051842e-06,0.20108554239007148,61.10044774176648,1.9542579690241853e-06,1.8656424404262354e-06,0.5604302382835431,1.4536141145955219e-06,5.03499300628163e-07,3.847019635818472e-06,7.490360036621554e-06,5.792933938607434e-06,0.016314662800206405,2.9435480125123465e-06,3.0982039215682867e-06,3.531825589379219e-07,-3.8803267210822955e-07,2757.001547475054,0.25443237923557727,61.1437993269076,3920.013910938172,13.503518660108137,-0.0034179535101854165,0.2992872963047735,95.67703432432205,95.59984435797666,NREM
16,1.7168695709671727e-06,2.3580271101956116e-07,-3.653543450064902e-06,-7.524441748683959e-06,-7.250047150379494e-07,2.7168410925459165e-06,-0.027724996280989803,-0.004269458926497285,2.78471801327525e-06,-8.185642888024346e-06,3.2214191042958864e-06,6.809152376592608e-06,-7.177048905167095e-07,0.18984062795961446,59.95839518196384,1.954328689504336e-06,1.865686508481473e-06,0.5622463308271918,-6.917590142669184e-07,4.960081381450115e-07,-1.202687647821313e-06,9.058322011138986e-06,6.002923097072377e-06,-0.0013594437139844882,2.8265487296863762e-06,5.126996078431031e-06,6.23537644007014e-06,3.3744607588828436e-06,2774.5359740393155,0.26003886934460463,60.610484304400536,6593.813605147372,14.258772624257166,-0.003407013252638559,0.6198149268838533,95.44382560633417,95.48872816052493,NREM
17,3.0556306095979286e-06,1.556511421377894e-06,3.0620305180432817e-07,-3.7814469062333623e-06,4.295470450903913e-06,3.0487275043869174e-06,-0.02763455452884718,-0.004088592554802771,2.770958571755451e-06,-3.1733983571121106e-06,1.4412639841306645e-05,-2.9416257877470568e-06,7.79740016784905e-06,0.23454929684921544,62.48842477276773,1.954170239820961e-06,1.8653733526614278e-06,0.5624650883497369,1.2751422140843443e-06,4.978009714910607e-07,8.021970804409377e-07,-2.6802932478829105e-06,9.055431298796647e-06,-0.0016375888292689412,-1.2812832639047888e-05,-1.25188509803925e-05,2.307493430991022e-06,1.4038176648618369e-06,2766.6535254003356,0.25809118430033823,62.35500283987353,6600.417770046535,13.835795687365836,-0.003408041069835476,0.9263349232216881,95.17730135720521,95.35538872358283,NREM
18,3.316987375702555e-06,1.8641208514534263e-06,-1.5828492561227343e-06,-4.373535194934056e-06,9.424763561453871e-07,2.8103839169908696e-06,-0.027523192051911196,-0.004163619338315399,2.7876360723276643e-06,5.6078761781235126e-06,-5.92582270542411e-06,1.4943251087204797e-06,2.1949939726861614e-06,0.2084324909938201,62.27874046407772,1.954207634597289e-06,1.8654051321176981e-06,0.5628604723164111,2.6966528877701607e-06,5.017911039902342e-07,-2.508319409475391e-06,3.4495860227349407e-07,4.283571033289665e-06,0.0016906096852144124,-6.505675654230614e-06,-7.617258823529756e-06,-3.693414435034765e-06,-3.194438506140933e-06,2742.4752786958607,0.25847666054337715,62.199435416189836,7441.111743444974,14.59345933135251,-0.0033973115148139867,0.9527022347346201,95.26614277358155,95.2442725261311,NREM
19,2.8312058594644136e-06,1.3213917652145213e-06,2.3593514915642527e-08,-6.2361677729458056e-06,-1.0754047150379498e-06,2.6382811017013295e-06,-0.027552568966180926,-0.004076092431204693,2.7666154726481036e-06,2.557377258970898e-06,-7.586397711146243e-06,-3.286397436484373e-06,-2.486110322728505e-06,0.21327307342620994,61.79630124808627,1.954137768622365e-06,1.8655202461788865e-06,0.5646970564983598,1.4447416037234684e-06,5.09584191653315e-07,3.487677754893861e-07,-3.194859525444518e-06,3.517550764222246e-06,-0.004647847481228456,-1.1322821545739428e-06,-9.771960784317148e-07,-3.607279789425549e-06,-4.374630815593898e-06,2799.4941912837053,0.2551092323691869,61.69939726863508,4698.745101701377,13.890961974712749,-0.003444346999287932,0.6778596334782939,95.21037952578352,95.38872358281836,REM
