Event,Duration,Start Time,End Time,Start Epoch,End Epoch,
Wake,30,42:00.0,42:30.0,900,901,
LM,5.5,42:01.0,42:06.5,900,900,
LM,4.22,42:14.4,42:18.6,900,900,
LM,0.51,42:22.9,42:23.4,900,900,
Wake,30,42:30.0,43:00.0,901,902,
LM,0.545,42:54.4,42:55.0,901,901,
LM,0.76,42:58.5,42:59.3,901,901,
Wake,30,43:00.0,43:30.0,902,903,
LM,3.82,43:23.7,43:27.5,902,902,
Movement,2.7,43:24.0,43:26.7,902,902,
LM,0.935,43:28.0,43:28.9,902,902,
Wake,30,43:30.0,44:00.0,903,904,
LM,0.56,43:37.8,43:38.4,903,903,
Wake,30,44:00.0,44:30.0,904,905,
Movement,2.9,44:06.4,44:09.3,904,904,
Wake,30,44:30.0,45:00.0,905,906,
Wake,30,45:00.0,45:30.0,906,907,
LM,0.505,45:21.8,45:22.3,906,906,
Wake,30,45:30.0,46:00.0,907,908,
LM,0.5,45:47.3,45:47.8,907,907,
LM,1.22,45:49.2,45:50.4,907,907,
Wake,30,46:00.0,46:30.0,908,909,
LM,2.435,46:21.3,46:23.7,908,908,
N1,30,46:30.0,47:00.0,909,910,
N2,30,47:00.0,47:30.0,910,911,
LM,0.62,47:04.0,47:04.6,910,910,
N2,30,47:30.0,48:00.0,911,912,
LM,0.8,47:34.5,47:35.3,911,911,
N2,30,48:00.0,48:30.0,912,913,
LM,1.025,48:16.3,48:17.4,912,912,
N1,30,48:30.0,49:00.0,913,914,
Desat,35.999,48:34.5,49:10.5,913,914,
N1,30,49:00.0,49:30.0,914,915,
N2,30,49:30.0,50:00.0,915,916,
LM,4.92,49:48.0,49:53.0,915,915,
Wake,30,50:00.0,50:30.0,916,917,
LM,2.814,50:25.3,50:28.1,916,916,
Movement,1.85,50:26.3,50:28.2,916,916,
N1,30,50:30.0,51:00.0,917,918,
N2,30,51:00.0,51:30.0,918,919,
N2,30,51:30.0,52:00.0,919,920,
N2,30,52:00.0,52:30.0,920,921,
Movement,13.049,52:19.3,52:32.4,920,921,
N2,30,52:30.0,53:00.0,921,922,
LM,3.019,52:30.3,52:33.3,921,921,
Desat,18,52:42.8,53:00.8,921,922,
N2,30,53:00.0,53:30.0,922,923,
N2,30,53:30.0,54:00.0,923,924,
N2,30,54:00.0,54:30.0,924,925,
N2,30,54:30.0,55:00.0,925,926,
N2,30,55:00.0,55:30.0,926,927,
LM,1.454,55:00.4,55:01.9,926,926,
PLM,197.253,55:00.4,58:17.7,926,932,
Movement,1.499,55:00.5,55:02.0,926,926,
N2,30,55:30.0,56:00.0,927,928,
LM,1.03,55:40.8,55:41.9,927,927,
N2,30,56:00.0,56:30.0,928,929,
N2,30,56:30.0,57:00.0,929,930,
LM,0.935,56:50.7,56:51.6,929,929,
LM,2.155,56:51.1,56:53.2,929,929,
N2,30,57:00.0,57:30.0,930,931,
